uid treatment n p time
timings_reduc3_10_64_7 timings_reduc3 10 64 1.00843906403
timings_reduc3_10_64_8 timings_reduc3 10 64 0.223950147629
timings_reduc3_10_64_9 timings_reduc3 10 64 0.641087055206
timings_reduc3_10_64_10 timings_reduc3 10 64 0.204786062241
timings_reduc3_5000_64_1 timings_reduc3 5000 64 2.59019112587
timings_reduc3_5000_64_2 timings_reduc3 5000 64 0.646452903748
timings_reduc3_5000_64_3 timings_reduc3 5000 64 0.370553016663
timings_reduc3_5000_64_4 timings_reduc3 5000 64 0.466958045959
timings_reduc3_5000_64_5 timings_reduc3 5000 64 0.0952429771423
timings_reduc3_5000_64_6 timings_reduc3 5000 64 0.242473840714
timings_reduc3_5000_64_7 timings_reduc3 5000 64 0.241590023041
timings_reduc3_5000_64_8 timings_reduc3 5000 64 1.54890394211
timings_reduc3_5000_64_9 timings_reduc3 5000 64 1.13558793068
timings_reduc3_5000_64_10 timings_reduc3 5000 64 0.3988032341
timings_reduc3_100_256_1 timings_reduc3 100 256 1.44276404381
timings_reduc3_100_256_2 timings_reduc3 100 256 1.25719285011
timings_reduc3_100_256_3 timings_reduc3 100 256 1.39792990685
timings_reduc3_100_256_4 timings_reduc3 100 256 1.14525985718
timings_reduc3_100_256_5 timings_reduc3 100 256 1.08092498779
timings_reduc3_100_256_6 timings_reduc3 100 256 1.56412696838
timings_reduc3_100_256_7 timings_reduc3 100 256 0.742510080338
timings_reduc3_100_256_8 timings_reduc3 100 256 1.32097792625
timings_reduc3_100_256_9 timings_reduc3 100 256 1.530189991
timings_reduc3_100_256_10 timings_reduc3 100 256 0.8880610466
timings_reduc3_10_256_1 timings_reduc3 10 256 0.674342155457
timings_reduc3_10_256_2 timings_reduc3 10 256 1.5715239048
timings_reduc3_10_256_3 timings_reduc3 10 256 1.40263295174
timings_reduc3_10_256_4 timings_reduc3 10 256 1.47096514702
timings_reduc3_10_256_5 timings_reduc3 10 256 1.67056488991
timings_reduc3_10_256_6 timings_reduc3 10 256 0.690830945969
timings_reduc3_10_256_7 timings_reduc3 10 256 66.4966349602
timings_reduc3_10_256_8 timings_reduc3 10 256 0.871937990189
timings_reduc3_10_256_9 timings_reduc3 10 256 1.10962200165
timings_reduc3_10_256_10 timings_reduc3 10 256 1.46142792702
timings_reduc3_5000_256_1 timings_reduc3 5000 256 0.638042926788
timings_reduc3_5000_256_2 timings_reduc3 5000 256 1.34575104713
timings_reduc3_5000_256_3 timings_reduc3 5000 256 0.261996984482
timings_reduc3_5000_256_4 timings_reduc3 5000 256 0.782543182373
timings_reduc3_5000_256_5 timings_reduc3 5000 256 1.67513108253
timings_reduc3_5000_256_6 timings_reduc3 5000 256 1.40411496162
timings_reduc3_5000_256_7 timings_reduc3 5000 256 0.665532112122
timings_reduc3_5000_256_8 timings_reduc3 5000 256 0.878305196762
timings_reduc3_5000_256_9 timings_reduc3 5000 256 1.25269198418
timings_reduc3_5000_256_10 timings_reduc3 5000 256 2.90523195267
