uid treatment n p time
timings_reduc2_100_64_3 timings_reduc2 100 64 0.531755924225
timings_reduc2_100_64_4 timings_reduc2 100 64 0.840296983719
timings_reduc2_100_64_5 timings_reduc2 100 64 1.00588798523
timings_reduc2_100_64_6 timings_reduc2 100 64 0.671684026718
timings_reduc2_100_64_7 timings_reduc2 100 64 0.195802927017
timings_reduc2_100_64_8 timings_reduc2 100 64 0.213350057602
timings_reduc2_100_64_9 timings_reduc2 100 64 0.311789989471
timings_reduc2_100_64_10 timings_reduc2 100 64 0.19765496254
timings_reduc2_10_64_1 timings_reduc2 10 64 0.605678081512
timings_reduc2_10_64_2 timings_reduc2 10 64 0.72833108902
timings_reduc2_10_64_3 timings_reduc2 10 64 0.393151044846
timings_reduc2_10_64_4 timings_reduc2 10 64 0.213828086853
timings_reduc2_10_64_5 timings_reduc2 10 64 0.310333967209
timings_reduc2_10_64_6 timings_reduc2 10 64 0.409934043884
timings_reduc2_10_64_7 timings_reduc2 10 64 0.373018980026
timings_reduc2_10_64_8 timings_reduc2 10 64 0.306858062744
timings_reduc2_10_64_9 timings_reduc2 10 64 0.17224407196
timings_reduc2_10_64_10 timings_reduc2 10 64 0.301389217377
timings_reduc2_5000_64_1 timings_reduc2 5000 64 0.197265863419
timings_reduc2_5000_64_2 timings_reduc2 5000 64 0.623110055923
timings_reduc2_5000_64_3 timings_reduc2 5000 64 0.480223894119
timings_reduc2_5000_64_4 timings_reduc2 5000 64 0.353204965591
timings_reduc2_5000_64_5 timings_reduc2 5000 64 0.395212888718
timings_reduc2_5000_64_6 timings_reduc2 5000 64 0.18653512001
timings_reduc2_5000_64_7 timings_reduc2 5000 64 0.176879882812
timings_reduc2_5000_64_8 timings_reduc2 5000 64 0.178617954254
timings_reduc2_5000_64_9 timings_reduc2 5000 64 0.362529993057
timings_reduc2_5000_64_10 timings_reduc2 5000 64 0.503664970398
timings_reduc2_100_256_1 timings_reduc2 100 256 1.13175797462
timings_reduc2_100_256_2 timings_reduc2 100 256 0.723219156265
timings_reduc2_100_256_3 timings_reduc2 100 256 0.826730012894
timings_reduc2_100_256_4 timings_reduc2 100 256 0.612907886505
timings_reduc2_100_256_5 timings_reduc2 100 256 0.646343946457
timings_reduc2_100_256_6 timings_reduc2 100 256 1.09020590782
timings_reduc2_100_256_7 timings_reduc2 100 256 1.20429301262
timings_reduc2_100_256_8 timings_reduc2 100 256 1.13869905472
timings_reduc2_100_256_9 timings_reduc2 100 256 1.76721286774
timings_reduc2_100_256_10 timings_reduc2 100 256 0.673395872116
timings_reduc2_10_256_1 timings_reduc2 10 256 1.31852602959
timings_reduc2_10_256_2 timings_reduc2 10 256 0.65992307663
timings_reduc2_10_256_3 timings_reduc2 10 256 0.945076942444
timings_reduc2_10_256_4 timings_reduc2 10 256 1.14246416092
timings_reduc2_10_256_5 timings_reduc2 10 256 1.15458202362
timings_reduc2_10_256_6 timings_reduc2 10 256 1.07027888298
timings_reduc2_10_256_7 timings_reduc2 10 256 1.22651696205
timings_reduc2_10_256_8 timings_reduc2 10 256 1.12498784065
timings_reduc2_10_256_9 timings_reduc2 10 256 1.52882790565
timings_reduc2_10_256_10 timings_reduc2 10 256 0.996898889542
timings_reduc2_5000_256_1 timings_reduc2 5000 256 1.17379999161
timings_reduc2_5000_256_2 timings_reduc2 5000 256 0.669780015945
timings_reduc2_5000_256_3 timings_reduc2 5000 256 1.06947016716
timings_reduc2_5000_256_4 timings_reduc2 5000 256 0.925575017929
timings_reduc2_5000_256_5 timings_reduc2 5000 256 1.10922598839
timings_reduc2_5000_256_6 timings_reduc2 5000 256 0.951380968094
timings_reduc2_5000_256_7 timings_reduc2 5000 256 1.40911412239
timings_reduc2_5000_256_8 timings_reduc2 5000 256 1.49288010597
timings_reduc2_5000_256_9 timings_reduc2 5000 256 1.13742399216
timings_reduc2_5000_256_10 timings_reduc2 5000 256 1.28783488274
timings_reducCol_100_1_1 timings_reducCol 100 1 0.000135898590088
timings_reducCol_100_1_2 timings_reducCol 100 1 0.000135898590088
timings_reducCol_100_1_3 timings_reducCol 100 1 0.000131845474243
timings_reducCol_100_1_4 timings_reducCol 100 1 0.000160932540894
timings_reducCol_100_1_5 timings_reducCol 100 1 0.0011670589447
timings_reducCol_100_1_6 timings_reducCol 100 1 0.000108957290649
timings_reducCol_100_1_7 timings_reducCol 100 1 0.000145196914673
timings_reducCol_100_1_8 timings_reducCol 100 1 0.000157833099365
timings_reducCol_100_1_9 timings_reducCol 100 1 0.000102043151855
timings_reducCol_100_1_10 timings_reducCol 100 1 9.48905944824e-05
timings_reducCol_10_1_1 timings_reducCol 10 1 8.29696655273e-05
timings_reducCol_10_1_2 timings_reducCol 10 1 0.00141191482544
timings_reducCol_10_1_3 timings_reducCol 10 1 9.41753387451e-05
timings_reducCol_10_1_4 timings_reducCol 10 1 8.29696655273e-05
timings_reducCol_10_1_5 timings_reducCol 10 1 8.20159912109e-05
timings_reducCol_10_1_6 timings_reducCol 10 1 8.10623168945e-05
timings_reducCol_10_1_7 timings_reducCol 10 1 8.10623168945e-05
timings_reducCol_10_1_8 timings_reducCol 10 1 8.10623168945e-05
timings_reducCol_10_1_9 timings_reducCol 10 1 8.89301300049e-05
timings_reducCol_10_1_10 timings_reducCol 10 1 8.29696655273e-05
timings_reducCol_5000_1_1 timings_reducCol 5000 1 0.00215101242065
timings_reducCol_5000_1_2 timings_reducCol 5000 1 0.00420498847961
timings_reducCol_5000_1_3 timings_reducCol 5000 1 0.00203490257263
timings_reducCol_5000_1_4 timings_reducCol 5000 1 0.00193905830383
timings_reducCol_5000_1_5 timings_reducCol 5000 1 0.00199508666992
timings_reducCol_5000_1_6 timings_reducCol 5000 1 0.00311303138733
timings_reducCol_5000_1_7 timings_reducCol 5000 1 0.00308299064636
timings_reducCol_5000_1_8 timings_reducCol 5000 1 0.00198793411255
timings_reducCol_5000_1_9 timings_reducCol 5000 1 0.00197887420654
